,Product Name,Images,Description,Original Price,Discounts,Discounted Price,Reviews
0,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/j/c/a324-51-thin-and-light-laptop-acer-original-imah42fxtvpkgryk.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '35.56 cm (14 Inch) Display', 'Warranty': '1 Year Domestic Warranty'}","₹43,000",30% off,"₹29,990",4
1,HP 360 Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook Lap...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/7/s/-original-imagykgqacv2ez2g.jpeg?q=70,"{'Processor': 'Intel Celeron Quad Core Processor', 'RAM': '4 GB LPDDR4 RAM', 'OS': '64 bit Chrome Operating System', 'SSD': '35.56 cm (14 Inch) Touchscreen Display', 'Display': '1 Year Onsite warranty'}","₹32,279",38% off,"₹19,990",4
2,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/n/j/x1502za-ej953ws-thin-and-light-laptop-asus-original-imah42fta8gfzz3y.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹56,990",40% off,"₹33,990",4.2
3,Acer Swift Go 14 EVO OLED (2024) Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/e/f/sfg14-71-58ub-thin-and-light-laptop-acer-original-imah42fqux87wwzm.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '16 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '35.56 cm (14 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹93,999",39% off,"₹56,990",4.3
4,Apple 2022 MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,"{'Processor': 'Apple M2 Processor', 'RAM': '8 GB Unified Memory RAM', 'OS': 'Mac OS Operating System', 'SSD': '256 GB SSD', 'Display': '34.54 cm (13.6 Inch) Display', 'Warranty': 'Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player'}","₹99,900",5% off,"₹93,990",4.7
5,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/u/-original-imah3acvkdhmxkzq.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '16 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '2 Year Carry-in Warranty'}","₹70,990",22% off,"₹54,990",4.3
6,HP 2023 Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/t/4/15s-fq5330tu-thin-and-light-laptop-hp-original-imah4f9grg2wavrp.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹70,064",30% off,"₹48,990",4.2
7,HP 15s (2024) AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Li...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/n/15s-eq2143au-thin-and-light-laptop-hp-original-imah3bdpdtcufjfz.jpeg?q=70,"{'Processor': 'AMD Ryzen 3 Quad Core Processor', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': 'Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart'}","₹48,286",32% off,"₹32,490",4.2
8,HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/s/k/15s-fq5327tu-thin-and-light-laptop-hp-original-imah42fxf2vwsxgr.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': 'Microsoft Office Home & Student 2021'}","₹51,134",27% off,"₹36,990",4.2
9,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/p/x/-original-imah2ger8fwg9raw.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '16 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹66,990",20% off,"₹52,990",4.2
10,Acer Aspire 7 (2024) Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/y/m/a715-76g-gaming-laptop-acer-original-imah42frghbdm9zg.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹83,999",38% off,"₹51,990",4.1
